millis,distance_cm
128400,19.19
128500,19.17
128600,19.17
128700,19.17
128800,19.17
128900,19.17
129000,19.17
129100,19.17
129200,19.17
129300,19.17
129400,19.17
129500,19.17
129600,19.17
129700,19.19
129800,19.19
129900,19.17
130000,19.19
130100,19.17
130200,19.17
130300,19.17
130400,19.19
130500,19.17
130600,19.17
130700,19.17
130800,19.19
130900,19.17
131000,19.17
131100,19.17
131200,19.17
131300,19.17
131400,19.17
131500,19.17
131600,19.17
131700,19.17
131800,19.19
131900,19.17
132000,19.17
132100,19.17
132200,19.17
132300,19.19
132400,19.17
132500,19.19
132600,19.17
132700,19.17
132800,19.17
132900,19.17
133000,19.17
133100,19.17
133200,19.19
133300,19.17
133400,19.17
133500,19.17
133600,19.17
133700,19.17
133800,19.17
133900,19.17
134000,19.17
134100,19.17
134200,19.17
134300,19.17
134400,19.17
134500,19.17
134600,19.16
134700,19.17
134800,19.17
134900,19.17
135000,19.17
135100,19.17
135200,19.17
135300,19.17
135400,19.17
135500,19.17
135600,19.17
135700,19.17
135800,19.17
135900,19.19
136000,19.17
136100,19.17
136200,19.17
136300,19.17
136400,19.17
136500,19.19
136600,19.17
136700,19.17
136800,19.17
136900,19.17
137000,19.17
137100,19.17
137200,19.17
137300,19.19
137400,19.17
137500,19.17
137600,19.17
137700,19.17
137800,19.17
137900,19.17
138000,19.17
138100,19.19
138200,19.16
138300,19.17
138400,19.17
138500,19.17
138600,19.17
138700,19.17
138800,19.17
138900,19.19
139000,19.17
139100,19.17
139200,19.17
139300,19.17
139400,19.17
139500,19.17
139600,19.19
139700,19.17
139800,19.17
139900,19.17
140000,19.17
140100,19.17
140200,19.17
140300,19.17
140400,19.17
140500,19.17
140600,19.17
140700,19.19
140800,19.17
140900,19.17
141000,19.17
141100,19.17
141200,19.17
141300,19.17
141400,19.17
141500,19.17
141600,19.17
141700,19.17
141800,19.19
141900,19.17
142000,19.17
142100,19.19
142200,19.17
142300,19.17
142400,19.17
142500,19.17
142600,19.17
142700,19.17
142800,19.17
142900,19.17
143000,19.17
143100,19.17
143200,19.17
143300,19.17
143400,19.17
143500,19.17
143600,19.17
143700,19.19
143800,19.17
143900,19.17
144000,19.17
144100,19.17
144200,19.17
144300,19.17
144400,19.17
144500,19.17
144600,19.17
144700,19.19
144800,19.17
144900,19.19
145000,19.17
145100,19.17
145200,19.17
145300,19.17
145400,19.17
145500,19.17
145600,19.17
145700,19.17
145800,19.17
145900,19.19
146000,19.17
146100,19.19
146200,19.17
146300,19.17
146400,19.17
146500,19.17
146600,19.17
146700,19.17
146800,19.17
146900,19.17
147000,19.17
147100,19.17
147200,19.17
147300,19.17
147400,19.17
147500,19.17
147600,19.19
147700,19.17
147800,19.17
147900,19.17
148000,19.17
148100,19.19
148200,19.17
148300,19.17
148400,19.17
